id,value,feed_id,created_at,lat,lon,ele
0FD34QR21PEWY3CK2A094JDD3J,33,2497174,2023-09-09 15:25:36 ,,,
0FD34QWF3CKZC6NHB7047VR72T,33,2497174,2023-09-09 15:25:50 ,,,
0FD34R1CVHTTSSAB18Z4N7JECV,33,2497174,2023-09-09 15:26:07 ,,,
0FD34R4S6T3SHMXEP454Y7KSD6,33,2497174,2023-09-09 15:26:18 ,,,
0FD34R9PRXN5NTXK9NHTYE710J,33,2497174,2023-09-09 15:26:34 ,,,
0FD34REMEVTG50ZR9DZ0BBMAEP,33,2497174,2023-09-09 15:26:50 ,,,
0FD34RKJ3X75EWMNQ202ANRD4E,33,2497174,2023-09-09 15:27:06 ,,,
0FD34RPZV92PJWD2BDY7Z17E0G,32,2497174,2023-09-09 15:27:17 ,,,
0FD34RVW1S5JKGPD8904127QMK,32,2497174,2023-09-09 15:27:33 ,,,
0FD34S0STHZT61F1KSBTAB0AKE,32,2497174,2023-09-09 15:27:49 ,,,
0FD34S5Q99VBR132AR2DXB4EDE,32,2497174,2023-09-09 15:28:06 ,,,
0FD34SAN0NMRH1R6Q6SPCMBJ2Q,32,2497174,2023-09-09 15:28:22 ,,,
0FD34SE1CZK85FET0AQ6P7YY3A,32,2497174,2023-09-09 15:28:33 ,,,
0FD34SJZ97WT1DHCV7T0SMD2HY,32,2497174,2023-09-09 15:28:49 ,,,
0FD34SQWNYV505GJG3G3G044WR,32,2497174,2023-09-09 15:29:05 ,,,
0FD34SWTEPD2KQEVHM1RAHGHYX,32,2497174,2023-09-09 15:29:21 ,,,
0FD34T06JZ7MCQGC4SFAY5T6R1,32,2497174,2023-09-09 15:29:32 ,,,
